customer_tweet_id,customer_text,apple_reply_text,is_dm_redirect,true_intent,true_routing,escalation_reason,predicted_intent,routing_decision,escalation_reason_predicted,drafted_reply,retrieved_precedent
1015293,"@AppleSupport It started happening on iOS 10.3.3, then I updated to 11.0.3 thinking it'd get fixed, but nope, it's still there.",@360221 Thanks for those details. Please let us know in DM if you're updating your iOS via Wi-Fi or iTunes and we'll sort this out. https://t.co/GDrqU22YpT,false,ios_update_issues,auto_handle,,ios_update_issues,auto_handle,"","Try updating the app to the latest version, then clear its cache or reinstall it. If the issue persists, reset your iPhone’s network settings (Settings → General → Transfer or Reset iPhone → Reset → Reset Network Settings). Let us know if it resolves.","@AppleSupport Yeah I have updated it to 11.0.3, it happened ; @AppleSupport It started on iOS 11 and it still continues on; @AppleSupport I'm running 11.0.3 (15A432). This has been hap"
296793,@AppleSupport your new iOS has messed up my Bluetooth playing songs in my car! @14404,@186700 We can help. What kind of issues it having while playing through Bluetooth?,false,connectivity_hardware,auto_handle,,connectivity_hardware,auto_handle,"","Make sure your car’s Bluetooth is on and paired. On your iPhone, go to Settings → Bluetooth, tap the “i” next to your car, choose “Forget This Device,” then re‑pair. If that doesn’t help, try a quick reset: Settings → General → Reset → Reset Network Settings. This often restores audio playback.",@Applesupport the new update is screwing up my Bluetooth con; @AppleSupport thnx guys for even fucking up Bluetooth conn w; @AppleSupport can you tell me why my car no longer shows the
962244,"Hello @AppleSupport - Why macOS Sierra no longer appears in the ""my purchases"" section ?",@348332 We'd like to hear more about what's going on. Please DM us and we'll look into this with you. https://t.co/GDrqU22YpT,true,app_store_billing,escalate,requires_private_account_info,out_of_scope_or_other,auto_handle,"","macOS Sierra is no longer available for download in the App Store. Only the latest macOS versions are listed under “Purchased.” If you need a copy, you can download the installer from Apple’s support site or use a backup. Let us know if you need help locating the download link.",@AppleSupport macOS Sierra is gone from my 'purchased' items; @AppleSupport It seems logged in (there is a logout option) ; @AppleSupport It shows up there but not in my library or in 
1033021,.@AppleSupport Can I still make calls on the Apple Watch 3 when I am in WIFI without the LTE Version? #AskingForaFriend,@364413 We're happy to get you pointed in the right direction. Contact us here: https://t.co/8yjRd1Xo0i,false,connectivity_hardware,auto_handle,,connectivity_hardware,auto_handle,"","Calls on a Series 3 GPS‑only watch need an iPhone nearby (or a cellular plan). Over Wi‑Fi alone you can’t place calls—only the iPhone can handle them. If you’re in range, the watch will use the iPhone’s connection.",@AppleSupport can I call and iMessage on apple watch without; @AppleSupport I have updated my WatchOS but cannot stream th; @AppleSupport hi. Can we stream apple music on Apple Watch S
1123154,@115858 @AppleSupport I'm at a loss who to speak with. I'm a loyal Apple user since 1985. Case number is 100282824136. People at Apple care to look at history 1/7,@384882 Thanks for reaching out to us. Please click here to join us in DM. We'll continue there: https://t.co/GDrqU22YpT,false,out_of_scope_or_other,escalate,requires_private_account_info,apple_id_account,auto_handle,"","We’ve pulled up your case 100282824136. Please review the status and next steps here: https://support.apple.com/case/100282824136. If you need a live chat, click “Contact Support” on that page or call 1‑800‑APPLE. We’re here to help.",@115858 @AppleSupport I have been a good customer for 6 yrs ; @115858 @AppleSupport kind of mad I never saw the reply from; @AppleSupport I really need your help guys. Please assist me
114457,@AppleSupport My brand new iPhone X won't connect to ANY of my devices over bluetooth.,@141446 We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance. https://t.co/GDrqU22YpT,true,connectivity_hardware,auto_handle,,connectivity_hardware,auto_handle,"","Try these steps: 1️⃣ Restart your iPhone. 2️⃣ Toggle Airplane mode on/off. 3️⃣ Forget any paired devices, then re‑pair. 4️⃣ Reset Network Settings (Settings → General → Transfer or Reset iPhone → Reset → Reset Network Settings). 5️⃣ Ensure iOS is up to date. If the issue persists, let us know the iOS version.",@AppleSupport what is going on with Bluetooth on iPhone X?!?; @AppleSupport I'm having Bluetooth issues with my iPhone X. ; @AppleSupport my iphone 8 plus bluetooth is having issues an
107358,"@AppleSupport ok... woke up yesterday and my podcast app had changed AGAIN. My subscriptions disappeared, and when it restored all my new subs were gone. Also the Listen Now is in NO order whatsoever. How can I get my old app back? https://t.co/aemWLxGmmE",@139843 We know how important it is to enjoy your podcasts and we're happy to do everything we can to help. Let's pick back up where we left off. Please DM us to continue. https://t.co/GDrqU22YpT,true,app_store_billing,escalate,requires_private_account_info,app_store_billing,auto_handle,"","Check that iCloud Drive is enabled for Podcasts (Settings > [Your Name] > iCloud > Podcasts). If it’s on, sign out of iCloud on your device, restart, then sign back in to resync your subscriptions. If that doesn’t restore them, try reinstalling the Podcasts app or restoring from a recent iCloud backup.",@AppleSupport don't know what you did when updated podcasts ; @AppleSupport please fix/help me with the podcast app. What ; @AppleSupport It's the one that entirely changed the podcast
596904,"@AppleSupport  i can't remove my payment method, i want use none to download free apps but i can't on device and web","@261501 We completely understand wanting to do that, and we'll be happy to provide that information for you. Here's the reasons you'd be unable to select it: https://t.co/rnB74M0zio If you still have issues, reach out to our iTunes Store team here: https://t.co/SDIe7UiyJN",false,app_store_billing,auto_handle,,app_store_billing,auto_handle,"","If you want to use “None” for free downloads, go to Settings → Apple ID → Payment & Shipping, tap your card and select “Remove Payment Method.” Then choose “None” as the payment type. If it still appears, try the same steps on iTunes Store.com. If the issue persists, contact Apple Support: https://support.apple.com/contact.","@AppleSupport why has my payment method been ""declined"" when; @AppleSupport Am I missing something or you just decided to ; @AppleSupport I set my payment to none in the appstore but i"
391226,"@AppleSupport If the code appears on the same device as the one with the user ID and the password, then anyone can gain access.","@208634 Yes, the code should appear on a device marked as ""trusted."" This is the standard design of two-factor authentication.",false,apple_id_account,escalate,account_security_risk,apple_id_account,auto_handle,"","If a verification code shows on the same device you’re signing in on, it’s part of two‑factor authentication. The code is only visible when the device is already unlocked and trusted. To keep it secure, enable a separate trusted device or use the Authenticator app. If you’re concerned, go to Settings > [Your Name] > Password & Security > Two‑Factor Authentication and review or add trusted devices.","@AppleSupport But I just want to use my passcode; @AppleSupport Oh no it's sending a verification code to anot; @AppleSupport Yes, it ask if I want to trust, I say yes, the"
686865,@AppleSupport plz look into the issue and refund the amount. https://t.co/mIbXf2rH2y,"@284005 For help with purchases, reach out to our iTunes Store team here:  https://t.co/SDIe7UiyJN",false,app_store_billing,escalate,financial_refund_request,app_store_billing,escalate,financial_refund_request,We’re sorry to hear about the charge. I’ve forwarded your request to our billing team and they’ll reach out shortly to resolve the refund. Thank you for your patience.,"@AppleSupport Hi, I have tried this but the amounts still di; @118721 @AppleSupport @116333 And it's been happening for pa; @AppleSupport I have DM you the details. 
Kindly resolve the"
